t3_um,radius_um,pressure_pa,capacitance_fF
2.0,500.0,9500.0,3505.6
2.0,500.0,9600.0,3515.8
2.0,500.0,9700.0,3525.7
2.0,500.0,9800.0,3535.6
2.0,500.0,9900.0,3545.3
2.0,500.0,10000.0,3555.0
2.0,500.0,10100.0,3564.4
2.0,500.0,10200.0,3573.9
2.0,500.0,10300.0,3583.1
2.0,500.0,10400.0,3592.3
2.0,500.0,10500.0,3601.3
2.0,500.0,10600.0,3610.4
2.0,500.0,10700.0,3619.2
2.0,500.0,10800.0,3628.0
2.0,500.0,10900.0,3636.6
2.0,500.0,11000.0,3645.3
2.0,500.0,11100.0,3653.7
2.0,500.0,11200.0,3662.2
2.0,500.0,11300.0,3670.4
2.0,500.0,11400.0,3678.7
2.0,500.0,11500.0,3686.8
2.0,500.0,11600.0,3694.9
2.0,500.0,11700.0,3702.8
2.0,500.0,11800.0,3710.7
2.0,500.0,11900.0,3718.6
2.0,500.0,12000.0,3726.3
2.0,500.0,12100.0,3734.0
2.0,500.0,12200.0,3741.5
2.0,500.0,12300.0,3749.0
2.0,500.0,12400.0,3756.5
2.0,500.0,12500.0,3763.8
2.0,500.0,12600.0,3771.1
2.0,500.0,12700.0,3778.3
2.0,500.0,12800.0,3785.4
2.0,500.0,12900.0,3792.6
2.0,500.0,13000.0,3799.6
2.0,500.0,13100.0,3806.6
2.0,500.0,13200.0,3813.4
2.0,500.0,13300.0,3820.2
2.0,500.0,13400.0,3827.1
2.0,500.0,13500.0,3833.7
2.0,500.0,13600.0,3840.4
2.0,500.0,13700.0,3847.0
2.0,500.0,13800.0,3853.5
2.0,500.0,13900.0,3860.0
2.0,500.0,14000.0,3866.4
4.0,0.0,0.0,216.05
4.0,0.0,0.0,294.07
4.0,0.0,100.0,217.34
4.0,0.0,100.0,297.33
4.0,0.0,200.0,218.65
4.0,0.0,200.0,300.68
4.0,0.0,300.0,219.97
4.0,0.0,300.0,304.05
4.0,0.0,400.0,221.31
4.0,0.0,400.0,307.41
4.0,0.0,500.0,222.65
4.0,0.0,500.0,310.71
4.0,0.0,600.0,223.98
4.0,0.0,600.0,313.95
4.0,0.0,700.0,225.32
4.0,0.0,700.0,317.11
4.0,0.0,800.0,226.64
4.0,0.0,800.0,320.19
4.0,0.0,900.0,227.95
4.0,0.0,900.0,323.19
4.0,0.0,1000.0,229.24
4.0,0.0,1000.0,326.13
4.0,0.0,1100.0,230.52
4.0,0.0,1100.0,328.99
4.0,0.0,1200.0,231.78
4.0,0.0,1200.0,331.8
4.0,0.0,1300.0,233.03
4.0,0.0,1300.0,334.56
4.0,0.0,1400.0,234.26
4.0,0.0,1400.0,337.26
4.0,0.0,1500.0,235.47
4.0,0.0,1500.0,339.92
4.0,0.0,1600.0,236.67
4.0,0.0,1600.0,342.55
4.0,0.0,1700.0,237.85
4.0,0.0,1700.0,345.13
4.0,0.0,1800.0,239.02
4.0,0.0,1800.0,347.69
4.0,0.0,1900.0,240.17
4.0,0.0,1900.0,350.22
4.0,0.0,2000.0,241.31
4.0,0.0,2000.0,352.72
4.0,0.0,2100.0,242.43
4.0,0.0,2100.0,355.2
